trade_id,timestamp,resting_order_id,aggressor_order_id,aggressor_side,price,quantity,strategy_name,position_after,cash_after,equity_after
24,1700000044,1014,1000029,BID,100.170000,2,MovingAverageCrossStrategy,10,998998.930000,1000000.630000
25,1700000048,1039,1000032,ASK,100.350000,2,MovingAverageCrossStrategy,8,999199.630000,1000002.430000
26,1700000049,1020,1000033,BID,100.190000,2,MovingAverageCrossStrategy,10,998999.250000,1000001.150000
27,1700000052,1043,1000036,ASK,100.400000,2,MovingAverageCrossStrategy,8,999200.050000,1000003.250000
28,1700000054,1020,1000037,BID,100.190000,2,MovingAverageCrossStrategy,10,998999.670000,1000001.570000
29,1700000057,1047,1000040,ASK,100.450000,2,MovingAverageCrossStrategy,8,999200.570000,1000004.170000
30,1700000058,1020,1000041,BID,100.190000,2,MovingAverageCrossStrategy,10,999000.190000,1000002.090000
31,1700000062,1049,1000044,ASK,100.460000,2,MovingAverageCrossStrategy,8,999201.110000,1000004.790000
32,1700000063,1022,1000045,BID,100.210000,2,MovingAverageCrossStrategy,10,999000.690000,1000002.790000
33,1700000067,1049,1000048,ASK,100.460000,2,MovingAverageCrossStrategy,8,999201.610000,1000005.290000
34,1700000068,1022,1000049,BID,100.210000,2,MovingAverageCrossStrategy,10,999001.190000,1000003.290000
35,1700000072,1049,1000052,ASK,100.460000,1,MovingAverageCrossStrategy,9,999101.650000,1000005.700000
36,1700000072,1047,1000052,ASK,100.450000,1,MovingAverageCrossStrategy,8,999202.100000,1000005.700000
37,1700000073,1024,1000053,BID,100.230000,2,MovingAverageCrossStrategy,10,999001.640000,1000003.940000
38,1700000077,1047,1000056,ASK,100.450000,2,MovingAverageCrossStrategy,8,999202.540000,1000006.140000
39,1700000078,1026,1000057,BID,100.240000,2,MovingAverageCrossStrategy,10,999002.060000,1000004.460000
40,1700000082,1047,1000060,ASK,100.450000,1,MovingAverageCrossStrategy,9,999102.510000,1000006.470000
41,1700000082,1051,1000060,ASK,100.440000,1,MovingAverageCrossStrategy,8,999202.950000,1000006.470000
42,1700000083,1028,1000061,BID,100.260000,2,MovingAverageCrossStrategy,10,999002.430000,1000005.030000
43,1700000087,1051,1000064,ASK,100.440000,2,MovingAverageCrossStrategy,8,999203.310000,1000006.830000
44,1700000088,1072,1000065,BID,100.260000,2,MovingAverageCrossStrategy,10,999002.790000,1000005.390000
45,1700000092,1051,1000068,ASK,100.440000,2,MovingAverageCrossStrategy,8,999203.670000,1000007.190000
46,1700000093,1076,1000069,BID,100.220000,2,MovingAverageCrossStrategy,10,999003.230000,1000005.430000
47,1700000096,1051,1000071,ASK,100.440000,1,MovingAverageCrossStrategy,9,999103.670000,1000007.540000
48,1700000096,1045,1000071,ASK,100.430000,1,MovingAverageCrossStrategy,8,999204.100000,1000007.540000
49,1700000097,1045,1000072,ASK,100.430000,2,MovingAverageCrossStrategy,6,999404.960000,1000007.540000
50,1700000098,1080,1000073,BID,100.180000,2,MovingAverageCrossStrategy,8,999204.600000,1000006.040000
51,1700000099,1082,1000074,BID,100.160000,2,MovingAverageCrossStrategy,10,999004.280000,1000005.880000
52,1700000101,1045,1000075,ASK,100.430000,2,MovingAverageCrossStrategy,8,999205.140000,1000008.580000
53,1700000102,1045,1000076,ASK,100.430000,2,MovingAverageCrossStrategy,6,999406.000000,1000008.580000
54,1700000103,1084,1000077,BID,100.140000,2,MovingAverageCrossStrategy,8,999205.720000,1000006.840000
55,1700000104,1086,1000078,BID,100.120000,2,MovingAverageCrossStrategy,10,999005.480000,1000006.680000
56,1700000106,1053,1000079,ASK,100.420000,2,MovingAverageCrossStrategy,8,999206.320000,1000009.680000
57,1700000107,1053,1000080,ASK,100.420000,2,MovingAverageCrossStrategy,6,999407.160000,1000009.680000
58,1700000108,1088,1000081,BID,100.100000,2,MovingAverageCrossStrategy,8,999206.960000,1000007.760000
59,1700000109,1090,1000082,BID,100.080000,2,MovingAverageCrossStrategy,10,999006.800000,1000007.600000
60,1700000111,1053,1000083,ASK,100.420000,1,MovingAverageCrossStrategy,9,999107.220000,1000010.820000
61,1700000111,1043,1000083,ASK,100.400000,1,MovingAverageCrossStrategy,8,999207.620000,1000010.820000
62,1700000112,1043,1000084,ASK,100.400000,2,MovingAverageCrossStrategy,6,999408.420000,1000010.820000
63,1700000113,1092,1000085,BID,100.060000,2,MovingAverageCrossStrategy,8,999208.300000,1000008.780000
64,1700000114,1094,1000086,BID,100.040000,2,MovingAverageCrossStrategy,10,999008.220000,1000008.620000
65,1700000116,1043,1000087,ASK,100.400000,2,MovingAverageCrossStrategy,8,999209.020000,1000012.220000
66,1700000117,1043,1000088,ASK,100.400000,1,MovingAverageCrossStrategy,7,999309.420000,1000012.220000
67,1700000117,1055,1000088,ASK,100.400000,1,MovingAverageCrossStrategy,6,999409.820000,1000012.220000
68,1700000118,1096,1000089,BID,100.020000,2,MovingAverageCrossStrategy,8,999209.780000,1000009.940000
69,1700000119,1098,1000090,BID,100.000000,2,MovingAverageCrossStrategy,10,999009.780000,1000009.780000
70,1700000121,1055,1000091,ASK,100.400000,2,MovingAverageCrossStrategy,8,999210.580000,1000013.780000
71,1700000122,1055,1000092,ASK,100.400000,2,MovingAverageCrossStrategy,6,999411.380000,1000013.780000
72,1700000123,1098,1000093,BID,100.000000,2,MovingAverageCrossStrategy,8,999211.380000,1000011.380000
73,1700000124,1098,1000094,BID,100.000000,1,MovingAverageCrossStrategy,9,999111.380000,1000011.560000
74,1700000124,1096,1000094,BID,100.020000,1,MovingAverageCrossStrategy,10,999011.360000,1000011.560000
75,1700000126,1055,1000095,ASK,100.400000,1,MovingAverageCrossStrategy,9,999111.760000,1000015.180000
76,1700000126,1057,1000095,ASK,100.380000,1,MovingAverageCrossStrategy,8,999212.140000,1000015.180000
77,1700000127,1057,1000096,ASK,100.380000,2,MovingAverageCrossStrategy,6,999412.900000,1000015.180000
78,1700000128,1096,1000097,BID,100.020000,2,MovingAverageCrossStrategy,8,999212.860000,1000013.020000
79,1700000129,1096,1000098,BID,100.020000,1,MovingAverageCrossStrategy,9,999112.840000,1000013.110000
80,1700000129,1100,1000098,BID,100.030000,1,MovingAverageCrossStrategy,10,999012.810000,1000013.110000
81,1700000131,1057,1000099,ASK,100.380000,2,MovingAverageCrossStrategy,8,999213.570000,1000016.610000
82,1700000132,1041,1000100,ASK,100.370000,2,MovingAverageCrossStrategy,6,999414.310000,1000016.530000
83,1700000133,1100,1000101,BID,100.030000,2,MovingAverageCrossStrategy,8,999214.250000,1000014.490000
84,1700000134,1100,1000102,BID,100.030000,2,MovingAverageCrossStrategy,10,999014.190000,1000014.490000
85,1700000136,1041,1000103,ASK,100.370000,2,MovingAverageCrossStrategy,8,999214.930000,1000017.890000
86,1700000137,1041,1000104,ASK,100.370000,1,MovingAverageCrossStrategy,7,999315.300000,1000017.820000
87,1700000137,1059,1000104,ASK,100.360000,1,MovingAverageCrossStrategy,6,999415.660000,1000017.820000
88,1700000138,1094,1000105,BID,100.040000,2,MovingAverageCrossStrategy,8,999215.580000,1000015.900000
89,1700000139,1094,1000106,BID,100.040000,1,MovingAverageCrossStrategy,9,999115.540000,1000015.990000
90,1700000139,1102,1000106,BID,100.050000,1,MovingAverageCrossStrategy,10,999015.490000,1000015.990000
91,1700000141,1059,1000107,ASK,100.360000,2,MovingAverageCrossStrategy,8,999216.210000,1000019.090000
92,1700000142,1059,1000108,ASK,100.360000,2,MovingAverageCrossStrategy,6,999416.930000,1000019.090000
93,1700000143,1102,1000109,BID,100.050000,2,MovingAverageCrossStrategy,8,999216.830000,1000017.230000
94,1700000144,1102,1000110,BID,100.050000,2,MovingAverageCrossStrategy,10,999016.730000,1000017.230000
95,1700000146,1059,1000111,ASK,100.360000,1,MovingAverageCrossStrategy,9,999117.090000,1000020.240000
96,1700000146,1039,1000111,ASK,100.350000,1,MovingAverageCrossStrategy,8,999217.440000,1000020.240000
97,1700000147,1039,1000112,ASK,100.350000,2,MovingAverageCrossStrategy,6,999418.140000,1000020.240000
98,1700000148,1102,1000113,BID,100.050000,1,MovingAverageCrossStrategy,7,999318.090000,1000018.510000
99,1700000148,1092,1000113,BID,100.060000,1,MovingAverageCrossStrategy,8,999218.030000,1000018.510000
100,1700000149,1092,1000114,BID,100.060000,2,MovingAverageCrossStrategy,10,999017.910000,1000018.510000
101,1700000151,1039,1000115,ASK,100.350000,1,MovingAverageCrossStrategy,9,999118.260000,1000021.320000
102,1700000151,1061,1000115,ASK,100.340000,1,MovingAverageCrossStrategy,8,999218.600000,1000021.320000
103,1700000152,1061,1000116,ASK,100.340000,2,MovingAverageCrossStrategy,6,999419.280000,1000021.320000
104,1700000153,1092,1000117,BID,100.060000,1,MovingAverageCrossStrategy,7,999319.220000,1000019.710000
105,1700000153,1104,1000117,BID,100.070000,1,MovingAverageCrossStrategy,8,999219.150000,1000019.710000
106,1700000154,1104,1000118,BID,100.070000,2,MovingAverageCrossStrategy,10,999019.010000,1000019.710000
107,1700000156,1061,1000119,ASK,100.340000,2,MovingAverageCrossStrategy,8,999219.690000,1000022.410000
108,1700000157,1037,1000120,ASK,100.330000,2,MovingAverageCrossStrategy,6,999420.350000,1000022.330000
109,1700000158,1104,1000121,BID,100.070000,2,MovingAverageCrossStrategy,8,999220.210000,1000020.770000
110,1700000159,1090,1000122,BID,100.080000,2,MovingAverageCrossStrategy,10,999020.050000,1000020.850000
111,1700000161,1037,1000123,ASK,100.330000,2,MovingAverageCrossStrategy,8,999220.710000,1000023.350000
112,1700000162,1037,1000124,ASK,100.330000,1,MovingAverageCrossStrategy,7,999321.040000,1000023.280000
